1. FC Phönix Lübeck,1427
BFC Dynamo,1416
Energie Cottbus,1411
Hallescher FC,1410
SC Freiburg II,1407
Alemannia Aachen,1405
VfB Lübeck,1399
Rot-Weiß Oberhausen,1395
FC 08 Homburg,1386
VSG Altglienicke,1383
VfB Oldenburg,1379
Stuttgarter Kickers,1377
1899 Hoffenheim II,1375
TSV Steinbach Haiger,1369
Fortuna Köln,1364
Eimsbütteler TV,1349
Hamburger SV II,1345
Holstein Kiel II,1343
FSV Zwickau,1341
FC Viktoria 1889 Berlin,1341
FC Carl Zeiss Jena,1336
FC Teutonia 05,1323
TSV Havelse,1321
SV Rödinghausen,1321
Bayern München II,1316
Türkgücü München,1314
SV Drochtersen/Assel,1310
Rot-Weiß Erfurt,1308
VfB Stuttgart II,1303
1. FC Bocholt,1303
Kickers Offenbach,1302
FC Schalke 04 II,1301
Greifswalder FC,1298
FC St. Pauli II,1292
SV Babelsberg 03,1292
Weiche Flensburg 08,1291
1. FC Köln II,1282
1. FC Düren,1272
Chemnitzer FC,1272
1. FSV Mainz 05 II,1269
Hertha BSC II,1267
1. FC Lok Leipzig,1267
DJK Vilzing,1266
TSV Aubstadt,1266
1. FC Kaan-Marienborn,1260
BSG Chemie Leipzig,1259
FSV Frankfurt,1256
Werder Bremen II,1255
Eintracht Norderstedt,1252
SC Wiedenbrück,1249
SpVgg Bayreuth,1244
Eintracht Frankfurt II,1243
1. FC Schweinfurt 05,1235
SG Barockstadt Fulda-Lehnerz,1235
FSV 63 Luckenwalde,1231
Fortuna Düsseldorf II,1230
Bor. Mönchengladbach II,1229
Blau-Weiß Lohne,1225
FC Augsburg II,1225
Schwarz-Weiß Rehden,1206
Bremer SV,1206
Bahlinger SC,1205
SSV Jeddeloh II,1204
FC-Astoria Walldorf,1202
SGV Freiberg,1196
Hessen Kassel,1188
1. FC Nürnberg II,1181
SpVgg Greuther Fürth II,1177
FV Illertissen,1175
TSG Balingen,1172
TuS Koblenz,1170
SpVgg Ansbach,1166
SC Paderborn 07 II,1166
Berliner AK 07,1164
SV Lippstadt 08,1162
VfR Aalen,1159
Viktoria Aschaffenburg,1158
Wacker Burghausen,1157
ZFC Meuselwitz,1152
VfV Hildesheim,1150
Hansa Rostock II,1143
Rot Weiss Ahlen,1129
Wormatia Worms,1125
SG Wattenscheid 09,1123
Rot-Weiß Koblenz,1120
VfB Eichstätt,1112
Atlas Delmenhorst,1110
SV Lichtenberg 47,1109
Kickers Emden,1089
FC Wegberg-Beeck,1088
Eintracht Trier,1077
SSVg Velbert,1076
SV 19 Straelen,1069
TSV Buchbach,1064
FC Eilenburg,1055
TSV Schott Mainz,1046
Kilia Kiel,1039
Eintracht Bamberg,1037
Germania Halberstadt,1032
SC Spelle-Venhaus,1028
TSV 1896 Rain,1027
TeBe Berlin,1004
SpVgg Hankofen-Hailing,995
FC Oberneuland,989
TSG Neustrelitz,989
SV Schalding-Heining,983
SV Heimstetten,973
FC Memmingen,959
FC Pipinsried,935
Inter,2320
AC Milan,2116
Juventus,2116
SSC Napoli,2092
Atalanta,2090
Lazio Roma,2054
AS Roma,2052
Bologna FC,2020
ACF Fiorentina,1985
Torino FC,1978
AC Monza,1925
Udinese Calcio,1884
Genoa CFC,1880
Sassuolo Calcio,1845
Empoli FC,1842
US Lecce,1822
Hellas Verona,1814
Frosinone Calcio,1807
Parma Calcio 1913,1804
Cagliari Calcio,1781
US Cremonese,1780
US Salernitana 1919,1763
Palermo FC,1730
Venezia FC,1726
SSC Bari,1683
Calcio Como,1683
Spezia Calcio,1662
Sampdoria,1652
AC Pisa,1647
Brescia Calcio,1641
Modena FC,1639
FC Südtirol,1627
AS Cittadella,1626
Reggina 1914,1621
Cosenza Calcio,1616
Ascoli Calcio,1613
AC Perugia Calcio,1608
SPAL 2013 Ferrara,1601
Benevento Calcio,1596
Ternana Calcio,1593
AC Reggiana 1919,1583
US Catanzaro,1578
Calcio Padova,1572
FeralpiSalò,1560
Calcio Lecco 1912,1516
Paris Saint-Germain,2216
RC Lens,2044
Lille OSC,2022
Stade Rennais,2018
Olympique Marseille,2008
OGC Nice,1987
AS Monaco,1974
Stade Brestois,1951
Olympique Lyon,1928
RC Strasbourg,1887
Stade Reims,1878
Toulouse FC,1876
Montpellier HSC,1856
AJ Auxerre,1827
FC Lorient,1823
Havre AC,1808
FC Nantes,1795
Clermont Foot 63,1793
FC Metz,1776
Racing Club de France,1718
Angers SCO,1709
AS Saint-Étienne,1697
Girondins Bordeaux,1688
Grenoble Foot 38,1675
SM Caen,1666
EA Guingamp,1660
ESTAC Troyes,1654
Paris FC,1653
AC Ajaccio,1650
Rodez AF,1639
SC Bastia,1630
Stade Lavallois,1628
US Quevilly-Rouen,1616
Pau,1609
Red Star,1607
Sochaux,1603
US Concarneau,1601
Amiens SC,1600
Annecy,1553
USL Dunkerque,1546
Chamois Niortais,1538
Dijon FCO,1531
Martigues,1527
Villefranche Beaujolais,1527
Valenciennes,1527
AS Nancy Lorraine,1498
Nîmes Olympique,1494
US Orléans,1490
Vendée Les Herbiers,1480
Rouen,1472
Stade Briochin,1444
Mulhouse,1440
Vannes OC,1437
CS Sedan,1437
Versailles,1434
Le Mans FC,1434
Bourg-Péronnas,1433
Stade Poitevin,1431
Olympique Alès,1431
AS Beauvais,1428
LB Châteauroux,1424
SAS Épinal,1417
Lyon - La Duchère,1412
Stade Plabennec,1400
US Avranches,1397
Le Puy Foot 43,1393
FC Chambly,1377
GOAL FC,1372
ASM Belfort,1359
Marignane Gignac,1353
Paris 13 Atletico,1352
Entente SSG,1335
US Colomiers,1321
SO Cholet,1320
FC Borgo,1314
Hyères FC,1307
Louhans-Cuiseaux,1234
IF Elfsborg,1834
Malmö FF,1821
BK Häcken,1766
Djurgårdens IF,1756
Hammarby IF,1744
AIK Solna,1709
IK Sirius,1689
Kalmar FF,1679
Mjällby AIF,1676
IFK Värnamo,1670
IFK Göteborg,1650
IFK Norrköping,1648
Halmstads BK,1594
IF Brommapojkarna,1564
Västerås SK,1549
Degerfors IF,1545
GAIS Göteborg,1520
Östers IF,1513
Varbergs BoIS,1489
Östersunds FK,1429
IK Brage,1411
Utsiktens BK,1408
Trelleborgs FF,1396
Helsingborgs IF,1392
Örebro SK,1387
Skövde AIK,1385
Landskrona BoIS,1384
Sandvikens IF,1380
Norrby IF,1357
Örgryte IS,1347
GIF Sundsvall,1347
Västra Frölunda,1336
Gefle IF,1334
AFC Eskilstuna,1333
Dalkurd FF,1333
Jönköpings Södra IF,1321
Falkenbergs FF,1316
IFK Luleå,1315
FC Trollhättan,1312
Umeå FC,1304
Ljungskile SK,1265
Enköpings SK FK,1262
Vasalunds IF,1258
Husqvarna FF,1191
Argentina,2138
France,2110
Spain,2033
Portugal,2033
England,2015
Brazil,2012
Uruguay,2007
Belgium,1990
Colombia,1984
Netherlands,1970
Croatia,1952
